seq,isr_cycle,task_cycle,delta_cycles,latency_us
0,111569721,111571107,1386,16.500
1,161881824,161883237,1413,16.821
2,252942271,252943684,1413,16.821
3,366556029,366557442,1413,16.821
0,32656964,32658350,1386,16.500
1,105353896,105355309,1413,16.821
2,192155770,192157183,1413,16.821
3,294798979,294800392,1413,16.821
4,376423476,376424889,1413,16.821
0,25993689,25995075,1386,16.500
1,115239140,115240551,1411,16.798
2,198825384,198826795,1411,16.798
3,277640969,277642382,1413,16.821
4,314137652,314139065,1413,16.821
5,378013267,378014680,1413,16.821
6,397531766,397533179,1413,16.821
7,411512443,411513854,1411,16.798
0,27050057,27051443,1386,16.500
1,100522828,100524241,1413,16.821
